Declared,Temperature,NH3,pH,LUX,PAR,Kelvin,In/Out,Do
28/07/2021 01:23,25.875,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:23,25.875,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:23,25.875,0.075,6.52,0,0,0,In,7.70
28/07/2021 01:23,25.875,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:23,25.875,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:23,25.875,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:23,25.75,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:23,25.875,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:23,25.75,0.075,6.51,0,0,0,In,7.60
28/07/2021 01:22,25.75,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:22,25.875,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:22,25.75,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:22,25.75,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:22,25.625,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:22,25.75,0.075,6.52,0,0,0,In,7.90
28/07/2021 01:22,25.625,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:22,25.625,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:22,25.75,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:20,25.75,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:20,25.75,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:20,25.75,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:20,25.625,0.075,6.52,0,0,0,In,7.60
28/07/2021 01:20,25.75,0.075,6.52,0,0,0,In,7.80
28/07/2021 01:20,25.75,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:19,25.75,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:19,25.625,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:19,25.5,0.075,6.51,0,0,0,In,7.70
28/07/2021 01:19,25.625,0.075,6.51,0,0,0,In,7.90
28/07/2021 01:19,25.5,0.075,6.51,0,0,0,In,7.80
